verb,synonym1,synonym2,synonym3,synonym4,synonym5
begin,start,commence,initiate,launch,originate
behave,act,function,operate,react,perform
believe,trust,suppose,assume,presume,consider
belong,relate,pertain,fit,reside,align
bend,flex,curve,twist,distort,alter
benefit,profit,gain,help,improve,aid
bestow,give,grant,award,present,confer
betray,snitch,expose,reveal,desert,abandon
bid,offer,propose,tender,request,invite
bind,tie,secure,fasten,constrain,link
bite,snap,seize,grasp,sting,pierce
blame,accuse,charge,indict,fault,reproach
blast,explode,destroy,shatter,erupt,burst
blend,mix,combine,merge,unify,fuse
blink,flash,flicker,glimmer,signal,wink
block,obstruct,hinder,prevent,stop,bar
bloom,flourish,grow,thrive,develop,prosper
blow,blast,erupt,shatter,hit,strike
board,mount,enter,join,start,begin
boast,brag,flaunt,show,vaunt,exaggerate
bolt,fasten,lock,secure,flee,dash
bomb,attack,destroy,wreck,blast,ruin
boost,improve,enhance,increase,raise,elevate
boot,start,launch,initiate,reboot,restart
border,edge,surround,enclose,limit,skirt
borrow,take,lease,rent,adopt,copy
bother,annoy,disturb,irritate,harass,vex
bounce,rebound,reflect,return,jump,recoil
bound,limit,restrict,confine,jump,leap
bow,yield,bend,submit,defer,comply
box,enclose,trap,confine,pack,store
brace,support,fortify,prepare,strengthen,secure
brag,boast,flaunt,exaggerate,vaunt,show
break,shatter,wreck,fracture,crack,breach
breathe,inhale,expire,live,rest,pause
breed,produce,generate,propagate,cause,nurture
bridge,connect,link,unite,join,cross
brief,inform,advise,notify,summarize,alert
brighten,light,illuminate,improve,polish,clear
bring,fetch,carry,convey,deliver,transport
broadcast,transmit,publish,spread,air,circulate
broaden,expand,widen,extend,enlarge,diversify
browse,surf,explore,view,examine,scan
bruise,damage,hurt,impair,crush,harm
bruteforce,attack,crack,pound,hit,hammer
build,construct,create,assemble,fabricate,erect
burn,flash,ignite,scorch,incinerate,fire
burst,explode,erupt,shatter,break,crack
bury,hide,conceal,cover,inter,obscure
bush,hide,ambush,skirt,mask,cloak
buy,purchase,acquire,procure,obtain,gain
bypass,avoid,skirt,evade,ignore,circumvent
cache,store,hide,stash,buffer,save
calculate,compute,determine,reckon,tally,figure
calibrate,adjust,align,tune,standardize,fine-tune
call,phone,dial,contact,ring,page
cancel,annul,nullify,void,revoke,rescind
capture,seize,grab,snatch,apprehend,record
care,tend,guard,protect,manage,watch
carry,transport,convey,bring,deliver,move
carve,cut,shape,sculpt,slice,etch
cash,liquidate,exchange,pay,convert,obtain
cast,throw,send,emit,project,launch
catalog,list,index,record,file,label
catalyze,stimulate,accelerate,prompt,ignite,instigate
catch,intercept,seize,grasp,capture,find
categorize,classify,sort,group,label,rank
cause,originate,trigger,induce,prompt,produce
caution,warn,alert,advise,brief,notify
cease,stop,halt,end,terminate,quit
celebrate,praise,extol,honor,commemorate,rejoice
center,align,focus,adjust,position,fix
certify,verify,validate,authenticate,confirm,ratify
chain,link,connect,bind,fasten,secure
change,modify,alter,transform,vary,adapt
channel,direct,guide,steer,funnel,route
char,burn,scorch,scare,blacken,singe
charge,accuse,allege,indict,assault,attack
chart,map,plot,graph,outline,record
chase,pursue,follow,hunt,track,shadow
chat,talk,message,converse,speak,signal
cheat,deceive,defraud,trick,dupe,scam
check,verify,inspect,audit,scrutinize,test
checksum,verify,validate,confirm,check,audit
cheer,encourage,comfort,praise,applaud,shout
chill,cool,freeze,calm,dampen,quell
chip,break,fragment,damage,cut,nick
choose,select,pick,elect,opt,prefer
chop,cut,slice,sever,split,hack
cipher,encrypt,encode,code,scramble,secure
circle,orbit,revolve,surround,enclose,loop
circulate,spread,broadcast,diffuse,distribute,pass
cite,quote,reference,name,mention,list
claim,assert,allege,state,demand,own
clash,conflict,dispute,disagree,fight,collide
classify,sort,categorize,group,index,arrange
clean,wipe,scrub,purge,erase,sanitize
clear,empty,flush,wipe,erase,remove
click,select,press,hit,choose,tap
climb,mount,ascend,scale,rise,rise
cling,stick,hold,adhere,grasp,clutch
cloak,hide,mask,disguise,cover,obscure
clone,duplicate,copy,replicate,reproduce,mimic
close,shut,terminate,end,stop,finalize
clothe,cover,disguise,cloak,mask,hide
cloud,obscure,hide,blur,muddle,confuse
clutch,grasp,seize,hold,clench,snatch
coach,train,teach,guide,instruct,direct
code,program,write,script,develop,author
coil,twist,loop,wind,curl,spiral
collapse,crash,fail,break,fall,drop
collect,gather,accumulate,amass,compile,assemble
collide,clash,crash,hit,strike,conflict
collude,conspire,plot,scheme,cooperate,join
colonize,settle,occupy,found,expand,establish
combine,merge,blend,unify,integrate,mix
command,order,direct,instruct,control,dictate
commence,begin,start,initiate,launch,open
commend,praise,extol,laud,approve,celebrate
comment,remark,note,observe,mention,state
commit,execute,perform,do,perpetrate,pledge
communicate,message,talk,converse,contact,interact
compact,compress,shrink,squeeze,condense,bind
compare,contrast,match,match,parallel,weigh
compel,force,oblige,drive,push,coerce
compile,build,assemble,gather,collect,organize
complain,object,protest,grumble,whine,moan
complete,finish,conclude,finalize,resolve,achieve
complicate,confuse,muddle,twist,entangle,jumble
comply,obey,follow,conform,yield,agree
compose,create,write,author,construct,frame
compress,zip,shrink,condense,compact,squeeze
compute,calculate,process,tally,figure,reckon
conceal,hide,obscure,disguise,mask,cloak
concede,admit,yield,grant,acknowledge,surrender
concentrate,focus,center,fix,cluster,collect
conclude,finish,end,terminate,finalize,resolve
concur,agree,consent,cooperate,join,align
condemn,denounce,sentence,doom,judge,criticize
condense,shorten,abbreviate,compress,summarize,shrink
conduct,manage,lead,direct,guide,operate
confer,consult,discuss,negotiate,bestow,grant
confess,admit,concede,reveal,divulge,own
configure,setup,adjust,arrange,structure,align
confine,limit,restrict,trap,enclose,jail
confirm,verify,validate,ratify,approve,corroborate
conflict,clash,disagree,differ,fight,battle
conform,adapt,adjust,comply,follow,obey
confuse,muddle,blur,obscure,distract,twist
connect,link,join,attach,couple,unite
conquer,defeat,overcome,subdue,win,seize
conserve,save,preserve,maintain,protect,keep
consider,think,weigh,examine,study,judge
consign,assign,entrust,deliver,transfer,delegate
consolidate,merge,combine,unify,integrate,solidify
conspire,plot,scheme,collude,plan,intrigue
construct,build,create,assemble,fabricate,erect
consult,advise,confer,discuss,deliberate,negotiate
consume,exhaust,deplete,use,absorb,swallow
contact,message,call,reach,ping,notify
contain,limit,restrict,check,hold,confine
contaminate,pollute,taint,infect,corrupt,spoil
continue,persist,endure,resume,stay,maintain
contract,shrink,diminish,constrict,agree,engage
contrast,compare,differ,distinguish,oppose,vary
contribute,provide,supply,donate,offer,bestow
control,manage,direct,govern,regulate,command
convert,transform,change,alter,translate,modify
convey,transport,carry,bring,send,transmit
convict,sentence,judge,doom,condemn,find
convince,persuade,assure,sway,influence,satisfy
cook,prepare,heat,make,brew,fix
cool,chill,freeze,quiet,calm,quell
cooperate,collaborate,partner,team,unite,assist
coordinate,organize,synchronize,align,manage,orchestrate
copy,duplicate,replicate,reproduce,clone,repeat
correct,fix,amend,rectify,repair,adjust
correlate,match,link,associate,connect,relate
correspond,write,email,match,align,agree
corrode,rot,decay,rust,damage,erode
corrupt,damage,spoil,infect,taint,degrade
cost,expense,price,value,charge,spend
count,tally,calculate,enumerate,reckon,tally
counter,oppose,react,respond,offset,neutralize
couple,join,link,connect,pair,unite
cover,hide,mask,disguise,protect,conceal
crack,break,decrypt,hack,breach,penetrate
craft,make,build,create,fabricate,fashion
crash,fail,break,stop,collapse,halt
create,make,build,generate,construct,originate
creep,sneak,skulk,slither,steal,crawl
criticize,condemn,denounce,judge,review,fault
crop,cut,trim,shorten,curtail,truncate
cross,intersect,traverse,bridge,pass,join
crowd,cluster,gather,push,press,jam
crush,grind,smash,squeeze,break,overpower
cry,shout,shriek,weep,call,yell
cultivate,grow,develop,nurture,foster,refine
cure,heal,fix,repair,remedy,restore
curl,twist,coil,loop,wind,spiral
curtail,limit,reduce,shorten,restrict,check
curve,bend,turn,twist,arc,arch
cut,delete,remove,sever,slice,trim
cycle,loop,repeat,rotate,revolve,iterate
damage,harm,impair,ruin,break,corrupt
dampen,wet,quiet,dull,quell,chill
dare,venture,risk,challenge,confront,brave
dash,sprint,speed,rush,hasten,fly
data,info,record,file,input,detail
date,time,tag,mark,note,track
dazzle,blind,amaze,stave,shock,flash
deactivate,disable,stop,turn,kill,halt
deaden,quiet,mute,dull,quell,numb
deal,trade,bargain,handle,manage,negotiate
debate,dispute,discuss,argue,contest,deliberate
debug,fix,repair,correct,patch,solve
decay,rot,corrode,decline,wither,spoil
deceive,cheat,defraud,trick,dupe,scam
decide,resolve,determine,settle,judge,fix
decipher,decode,decrypt,interpret,reveal,read
declare,state,announce,proclaim,publish,affirm
decline,refuse,drop,fail,wane,deteriorate
decode,decipher,decrypt,interpret,read,reveal
decorate,adorn,ornament,embellish,beautify,dress
decrease,lessen,reduce,diminish,drop,wane
decrypt,decode,decipher,unscramble,interpret,reveal
dedicate,devote,assign,pledge,commit,consecrate
deduce,infer,conclude,reason,derive,gather
defend,protect,guard,shield,secure,justify
defer,postpone,delay,suspend,yield,bow
define,specify,describe,determine,characterize,fix
defraud,cheat,scam,trick,dupe,fleece
degrade,damage,lower,impair,corrupt,abase
delay,stall,postpone,defer,hinder,suspend
delegate,assign,entrust,transfer,empower,consign
delete,erase,remove,wipe,expunge,eliminate
deliberate,think,weigh,confer,discuss,debate
deliver,send,transmit,forward,issue,supply
demand,order,request,require,command,insist
demonstrate,show,prove,illustrate,display,exhibit
denounce,condemn,criticize,accuse,blame,fault
deny,refuse,reject,block,disallow,exclude
depart,leave,exit,quit,abandon,vanish
depend,rely,hinge,count,trust,lean
depict,show,portray,represent,describe,sketch
deploy,launch,install,position,implement,station
deposit,pay,save,place,store,put
depress,lower,drop,dull,quell,sink
derive,infer,deduce,obtain,extract,stem
descend,drop,fall,sink,plunge,decline
describe,define,detail,characterize,portray,report
desert,abandon,forsake,leave,quit,flee
design,plan,draft,outline,create,sketch
designate,name,appoint,select,assign,title
desire,want,wish,crave,seek,long
destroy,ruin,wreck,demolish,shatter,shred
detach,separate,disconnect,remove,sever,isolate
detail,specify,describe,itemized,outline,report
detain,hold,arrest,stop,delay,confine
detect,find,spot,notice,identify,discover
deter,prevent,hinder,stop,discourage,check
determine,resolve,decide,settle,establish,fix
develop,evolve,grow,progress,advance,improve
devise,plan,create,invent,formulate,design
devote,dedicate,commit,pledge,assign,give
diagnose,analyze,identify,determine,recognize,pinpoint
dial,call,phone,ring,contact,page
dictate,order,command,prescribe,direct,speak
differ,vary,disagree,clash,diverge,contrast
differentiate,distinguish,discern,separate,contrast,discriminate
diffuse,spread,disperse,scatter,distribute,propagate
digest,absorb,process,assimilate,understand,incorporate
digitize,convert,encode,record,scan,transfer
dim,blur,obscure,dull,fade,lower
diminish,reduce,lessen,decrease,lower,shrink
direct,guide,lead,steer,manage,command
disable,deactivate,stop,turn,kill,halt
disagree,differ,dispute,clash,object,dissent
disappear,vanish,fade,evanesce,leave,exit
disappoint,fail,frustrate,dash,dismay,let
disassemble,dismantle,strip,wreck,break,deconstruct
disaster,wreck,ruin,crash,fail,shatter
discard,reject,dump,abandon,scrap,jettison
discern,perceive,detect,recognize,distinguish,notice
discharge,release,fire,emit,empty,dismiss
discipline,train,punish,correct,control,guide
disclose,reveal,divulge,show,unveil,expose
disconnect,separate,detach,sever,break,uncouple
discontinue,stop,cease,halt,end,suspend
discover,find,detect,reveal,spot,unearth
discriminate,distinguish,discern,separate,bias,judge
discuss,confer,debate,talk,convey,consult
disguise,mask,hide,cloak,obscure,conceal
disinfect,clean,sanitize,sterilize,purify,decontaminate
dislike,hate,loathe,detest,abhor,disdain
dismantle,disassemble,strip,wreck,deconstruct,demolish
dismiss,reject,discard,ignore,drop,release
disorient,confuse,muddle,dazzle,blur,twist
dispatch,send,forward,transmit,ship,issue
displace,move,shift,transfer,relocate,remove
display,show,exhibit,present,reveal,demonstrate
displease,annoy,irritate,vex,offend,bother
dispose,discard,dump,scrap,arrange,order
disprove,refute,rebut,negate,invalidate,contradict
dispute,argue,debate,clash,contest,challenge
disrupt,interrupt,disturb,upset,fracture,break
disseminate,spread,broadcast,circulate,distribute,diffuse
dissolve,melt,fade,break,annul,vanish
distance,separate,alienate,isolate,skirt,avoid
distinguish,discern,differentiate,separate,recognize,spot
distort,twist,warp,alter,deform,blur
distract,divert,confuse,muddle,blur,turn
distribute,share,allocate,spread,allot,dispense
distrust,doubt,suspect,question,fear,mistrust
disturb,annoy,interrupt,upset,disrupt,bother
dive,plunge,drop,fall,sink,submerge
diverge,differ,vary,split,branch,separate
diversify,vary,expand,broaden,branch,alter
divert,reroute,deflect,shift,turn,redirect
divide,separate,split,share,partition,sever
divulge,reveal,disclose,show,expose,tell
do,perform,act,execute,accomplish,achieve
document,record,log,file,note,detail
dodge,avoid,evade,skirt,bypass,duck
dominate,rule,control,govern,lead,master
donate,give,contribute,bestow,offer,yield
doom,sentence,judge,condemn,destine,fail
double,multiply,repeat,expand,boost,increase
doubt,question,suspect,distrust,disbelieve,fear
download,fetch,receive,pull,grab,acquire
draft,sketch,plan,outline,design,draw
drag,pull,tow,haul,trail,lug
drain,empty,exhaust,deplete,clear,flush
draw,sketch,trace,outline,pull,attract
dream,imagine,envision,plan,think,fancy
dress,adorn,clothe,cover,prepare,trim
drift,float,stray,wander,glide,shift
drill,bore,train,practice,punch,pierce
drink,absorb,consume,swallow,sip,drain
drive,steer,direct,guide,propel,push
drop,discard,abandon,leave,dump,release
drown,sink,submerge,flood,overwhelm,quench
drug,sedate,numb,quiet,dose,poison
dull,quiet,mute,quell,blur,dim
dump,discard,drop,abandon,eject,unload
dupe,deceive,trick,scam,cheat,defraud
duplicate,copy,reproduce,replicate,clone,repeat
dwell,live,stay,reside,abide,linger
dye,color,stain,tint,shade,mark
earn,gain,acquire,obtain,deserve,win
ease,facilitate,simplify,lessen,relax,calm
eat,consume,absorb,ingest,swallow,devour
echo,repeat,replicate,reflect,mimic,mirror
edge,border,skirt,limit,rim,trim
edit,revise,alter,amend,modify,change
educate,train,teach,instruct,guide,inform
effect,cause,trigger,induce,prompt,produce
eject,remove,discard,dump,expel,oust
elaborate,expand,explain,detail,develop,clarify
elect,choose,select,pick,name,designate
elevate,raise,lift,boost,heighten,promote
eliminate,remove,exclude,discard,erase,expunge
elude,evade,avoid,escape,bypass,shun
email,mail,message,send,contact,notify
embed,implant,insert,integrate,fix,lodge
embellish,adorn,ornament,decorate,enhance,polish
embody,represent,exemplify,show,include,contain
embrace,hold,hug,include,accept,welcome
emerge,appear,arise,show,surface,issue
emit,release,issue,broadcast,beam,send
emphasize,stress,highlight,underscore,accentuate,feature
employ,use,utilize,hire,apply,engage
empower,authorize,enable,permit,allow,strengthen
empty,clear,flush,drain,void,vacate
emulate,mimic,imitate,copy,replicate,follow
enable,allow,permit,empower,authorize,activate
enact,perform,execute,pass,do,decree
encase,enclose,surround,wrap,box,protect
encircle,surround,loop,ring,orbit,enclose
enclose,box,trap,confine,surround,cage
encode,encrypt,cipher,scramble,code,scramble
encounter,meet,intersect,face,experience,find
encourage,support,boost,cheer,foster,promote
encroach,intrude,infringe,trespass,invade,violate
encrypt,cipher,code,scramble,secure,protect
end,finish,terminate,stop,close,finalize
endanger,risk,hazard,jeopardize,threaten,expose
endure,persist,continue,last,suffer,stay
energize,activate,boost,stimulate,ignite,prime
enforce,compel,impose,apply,execute,administer
engage,interact,participate,join,interact,involve
engineer,design,plan,create,build,construct
enhance,improve,augment,boost,elevate,refine
enjoy,like,appreciate,prize,relish,savor
enlarge,expand,extend,magnify,grow,increase
enlist,recruit,hire,join,engage,gather
ensure,guarantee,assure,secure,confirm,verify
entangle,twist,muddle,confuse,snare,trap
enter,input,access,ingress,join,insert
entertain,amuse,divert,host,interest,please
entice,allure,attract,tempt,draw,lure
entrust,delegate,assign,commit,trust,consign
enumerate,list,count,tally,calculate,detail
envision,imagine,visualize,plan,foresee,predict
equal,match,parallel,equate,align,level
equate,match,parallel,equal,align,balance
equip,arm,fit,supply,prepare,furnish
erase,delete,remove,wipe,expunge,eliminate
erode,rot,decay,corrode,wear,spoil
error,fail,fault,mistake,flaw,glitch
erupt,explode,burst,break,shatter,flare
escalate,increase,raise,boost,elevate,heighten
escape,flee,bolt,evade,avoid,abscond
establish,found,create,set,institute,build
estimate,calculate,appraise,guess,gauge,evaluate
estrange,alienate,separate,divide,distance,isolate
etch,carve,cut,sculpt,mark,write
evacuate,empty,clear,vacate,leave,exit
evade,avoid,bypass,skirt,escape,dodge
evaluate,assess,appraise,judge,analyze,rate
evanesce,vanish,disappear,fade,leave,exit
evolve,develop,progress,change,grow,mature
exaggerate,boast,brag,flaunt,stretch,vaunt
examine,inspect,scrutinize,probe,study,scan
exceed,surpass,top,transcend,outdo,break
exchange,swap,trade,switch,transfer,replace
excite,stimulate,provoke,prompt,ignite,stir
exclude,remove,omit,ignore,reject,block
excuse,apologize,justify,pardon,forgive,explain
execute,run,perform,implement,achieve,fulfill
exemplify,show,embody,represent,illustrate,depict
exempt,free,release,exclude,spare,spare
exercise,use,employ,utilize,apply,practice
exert,use,apply,exercise,wield,push
exfiltrate,steal,export,remove,extract,transfer
exhibit,show,display,reveal,present,demonstrate
exhume,dig,reveal,unearth,find,discover
exit,leave,quit,depart,terminate,end
expand,grow,enlarge,extend,broaden,spread
expect,anticipate,await,foresee,predict,hope
expedite,hasten,accelerate,speed,quicken,rush
expel,remove,eject,oust,discard,eject
expend,spend,exhaust,consume,use,deplete
experiment,test,trial,probe,research,verify
explain,clarify,describe,interpret,elucidate,expound
explode,burst,shatter,blast,erupt,wreck
exploit,use,utilize,harness,leverage,capitalize
explore,investigate,probe,search,examine,inspect
export,transfer,send,move,transmit,ship
expose,reveal,disclose,show,unveil,divulge
expound,explain,clarify,describe,detail,state
express,show,state,voice,convey,declare
expunge,erase,delete,remove,wipe,eliminate
extend,lengthen,stretch,prolong,expand,broaden
extinguish,stop,end,kill,quell,dampen
extol,praise,laud,commend,celebrate,applaud
extract,pull,withdraw,remove,derive,derive
fabricate,construct,build,manufacture,create,forge
face,confront,encounter,meet,tackle,address
facilitate,ease,help,assist,promote,simplify
fade,dim,blur,vanish,decline,wane
fail,crash,stop,break,abort,halt
fake,spoof,mimic,simulate,disguise,feign
fall,drop,sink,descend,plunge,plummet
falsify,alter,fake,forge,tamper,misrepresent
fancy,imagine,dream,like,want,envision
fashion,shape,form,mold,create,make
fasten,secure,fix,attach,join,link
fault,blame,accuse,charge,criticize,condemn
favor,prefer,choose,support,help,aid
fear,dread,suspect,worry,doubt,frighten
feature,highlight,stress,show,emphasize,include
feed,supply,load,input,insert,nourish
feign,fake,spoof,mimic,simulate,disguise
fell,drop,cut,knock,strike,hit
fetch,get,retrieve,grab,download,collect
field,handle,manage,direct,deal,answer
fight,clash,battle,dispute,struggle,quarrel
figure,calculate,compute,determine,reckon,tally
file,record,log,document,store,save
fill,load,prime,pack,occupy,saturate
filter,sift,sort,separate,screen,clean
finalize,finish,complete,settle,conclude,resolve
find,locate,discover,spot,detect,search
fine,adjust,tune,calibrate,refine,polish
finish,end,complete,terminate,finalize,resolve
fire,launch,ignite,discharge,dismiss,shoot
firewall,block,protect,guard,shield,secure
fit,match,suit,adapt,adjust,align
fix,repair,patch,mend,correct,rectify
flag,mark,identify,note,spot,tag
flare,erupt,burst,flash,ignite,shine
flash,burn,write,program,update,refresh
flatten,level,smooth,crush,press,even
flaunt,boast,brag,show,vaunt,parade
flee,escape,bolt,abscond,depart,leave
fleece,defraud,scam,cheat,rob,strip
flex,bend,twist,distort,stretch,warp
flicker,flash,flick,glimmer,blink,wink
float,drift,glide,wander,waft,hover
flood,bombard,swamp,overflow,saturate,deluge
flourish,bloom,thrive,grow,develop,prosper
flow,stream,pour,issue,run,drift
flush,clear,empty,clean,wipe,purge
flutter,flicker,flap,shake,quiver,vibrate
fly,dash,sprint,speed,rush,travel
focus,center,concentrate,fix,aim,target
follow,pursue,track,shadow,obey,trace
force,compel,oblige,drive,push,coerce
forecast,predict,foresee,anticipate,estimate,project
foresee,predict,forecast,anticipate,expect,project
forge,fake,falsify,create,fabricate,mold
forget,ignore,omit,skip,miss,neglect
forgive,pardon,excuse,justify,absolve,spare
form,shape,mold,structure,create,make
format,setup,wipe,arrange,organize,structure
formulate,plan,devise,create,develop,outline
forsake,abandon,desert,leave,quit,relinquish
fortify,strengthen,brace,support,secure,reinforce
forward,send,transmit,relay,dispatch,ship
foster,encourage,nurture,promote,cultivate,support
found,establish,institute,create,start,begin
fracture,break,crack,shatter,split,wreck
fragment,break,split,shatter,fracture,divide
frame,border,surround,enclose,edge,structure
free,release,liberate,clear,empty,loosen
freeze,lock,stop,halt,suspend,stall
frighten,scare,alarm,terrify,shock,startle
frustrate,fail,thwart,block,dash,hinder
fulfill,achieve,complete,perform,accomplish,satisfy
funnel,channel,direct,guide,route,steer
furnish,supply,provide,equip,fit,give
fuse,merge,combine,unify,blend,join
gain,acquire,obtain,secure,earn,win
gather,collect,accumulate,assemble,amass,compile
gauge,measure,quantify,calculate,estimate,rate
generate,produce,create,originate,yield,make
get,fetch,obtain,acquire,receive,procure
give,bestow,grant,award,yield,contribute
glide,float,drift,slide,skate,travel
glimmer,flash,flicker,blink,shine,glint
glitch,error,fail,fault,flaw,hitch
glow,shine,light,flare,burn,beam
glue,attach,stick,link,join,fix
go,travel,depart,leave,move,proceed
govern,rule,manage,control,direct,administer
grab,seize,snatch,capture,take,grasp
grade,rank,rate,order,classify,sort
grant,allow,permit,authorize,give,award
graph,plot,chart,map,sketch,record
grasp,seize,clutch,understand,take,hold
grind,crush,smash,break,mill,press
group,classify,sort,categorize,batch,assemble
grow,develop,expand,increase,evolve,mature
guarantee,assure,ensure,pledge,promise,warrant
guard,protect,shield,defend,secure,watch
guide,direct,lead,steer,navigate,manage
gulp,swallow,consume,absorb,eat,drink
hack,crack,breach,penetrate,break,infiltrate
halt,stop,pause,suspend,terminate,end
hammer,strike,hit,pound,beat,batter
handle,manage,manage,process,deal,treat
happen,occur,arise,emerge,take,transpire
harass,annoy,bother,disturb,vex,irritate
harm,damage,hurt,impair,ruin,corrupt
harness,utilize,exploit,leverage,control,channel
harvest,collect,gather,reap,acquire,accumulate
hasten,accelerate,expedite,speed,quicken,rush
hate,loathe,detest,abhor,dislike,disdain
haul,pull,drag,tow,lug,transport
hazard,risk,endanger,jeopardize,chance,threaten
heal,cure,fix,repair,restore,remedy
hear,listen,monitor,witness,perceive,detect
heat,warm,cook,burn,scorch,ignite
heighten,increase,raise,elevate,boost,intensify
help,assist,aid,support,facilitate,abet
hide,conceal,mask,cloak,disguise,obscure
highlight,stress,emphasize,feature,underscore,spotlight
hinder,block,obstruct,impede,stop,delay
hint,signal,suggest,imply,indicate,point
hire,employ,engage,recruit,enlist,retain
hit,strike,assault,attack,pound,batter
hoard,amass,collect,gather,accumulate,store
hoist,lift,raise,elevate,heave,boost
hold,clutch,grasp,keep,maintain,detain
hole,pierce,breach,penetrate,bore,cut
honor,praise,celebrate,respect,admire,extol
hook,attach,connect,link,join,couple
hop,jump,leap,skip,bound,bypass
hope,expect,anticipate,desire,wish,foresee
host,server,provide,run,hold,house
hover,float,drift,waft,stay,hang
hug,hold,embrace,clutch,accept,welcome
hunt,pursue,track,chase,search,follow
hurry,rush,hasten,accelerate,speed,quicken
hurt,damage,harm,impair,bruise,pain
identify,recognize,detect,spot,name,distinguish
idle,pause,wait,stall,stop,rest
ignite,fire,burn,flash,trigger,start
ignore,skip,bypass,neglect,overlook,omit
illuminate,light,brighten,clarify,reveal,show
illustrate,show,demonstrate,explain,exhibit,sketch
image,capture,copy,replicate,photograph,snapshot
imagine,envision,visualize,dream,plan,think
imitate,mimic,copy,replicate,emulate,follow
impair,damage,harm,weaken,hinder,spoil
implant,embed,insert,inject,fix,lodge
implement,execute,perform,apply,enact,start
imply,suggest,hint,indicate,signify,mean
import,receive,fetch,bring,introduce,acquire
impose,enforce,compel,oblige,dictate,fix
improve,enhance,refine,better,upgrade,augment
incinerate,burn,fire,destroy,wreck,scorch
incite,provoke,instigate,prompt,induce,ignite
include,incorporate,contain,embrace,involve,add
increase,grow,expand,boost,elevate,raise
index,catalog,list,record,file,label
indicate,show,signal,point,suggest,mean
indict,accuse,charge,blame,fault,sentence
induce,cause,provoke,prompt,incite,instigate
infect,corrupt,poison,contaminate,pollute,taint
infer,deduce,conclude,reason,gather,derive
inflict,cause,impose,deliver,give,deal
inform,notify,tell,advise,alert,brief
infringe,encroach,trespass,intrude,invade,violate
ingress,access,enter,reach,penetrate,approach
inhale,breathe,absorb,consume,take,draw
initiate,start,begin,launch,trigger,commence
